CID	LEN	POP	NIF	RAD	RNR	TKS	LOOP	COND	McCabe
3	101	3	3	1	0.752475	17	0	2	2
17	243	2	2	1	0.777778	26	0	4	4
19	55	3	3	1	0.563636	15	0	1	1
30	50	2	2	1	0.88	18	0	1	1
31	88	2	2	1	0.556818	18	0	1	1
33	54	3	3	1	0.888889	17	0	2	2
34	51	2	1	0	0.333333	12	0	3	3
35	68	2	1	0	0.25	12	0	4	4
43	50	2	2	1	1	14	0	2	2
48	90	3	3	1	0.677778	16	0	5	5
51	54	10	5	1	0.333333	13	0	3	3
54	72	10	5	1	0.25	13	0	4	4
57	90	10	5	1	0.2	13	0	5	5
60	108	7	5	1	0.166667	13	0	6	6
64	112	3	3	1	0.1875	14	0	6	6
73	63	2	2	1	0.825397	15	0	0	0
77	72	4	4	1	0.666667	15	0	4	4
80	131	2	2	1	0.740458	20	0	5	5
92	144	3	3	1	0.333333	15	0	8	8
123	50	2	2	1	1	13	0	0	0
129	83	2	2	1	0.554217	15	0	0	0
137	54	2	2	1	0.888889	18	0	2	2
145	51	2	2	1	0.882353	15	0	0	0
153	52	2	2	1	0.961538	18	0	1	1
156	52	2	2	1	0.903846	20	0	1	1
158	89	2	2	1	0.685393	17	0	1	1
161	50	2	2	1	1	16	0	3	3
164	62	2	2	1	0.806452	20	0	1	1
175	117	2	1	0	0.991453	36	1	2	3
176	230	2	1	0	0.486957	36	2	4	6
187	94	3	3	1	1	18	0	0	0
